epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,695.886,0.69802,0.39951,0.92293,0.97707,0.9896,0.99137,0.79277,0.75471,0.37498,0.92418,0.0012476,0.0012476,0.0012476
21,729.782,0.68274,0.38861,0.91847,0.98033,0.98997,0.99241,0.83406,0.65459,0.33411,0.87802,0.001208,0.001208,0.001208
22,763.733,0.69479,0.39991,0.92594,0.97718,0.9944,0.99231,0.83613,0.64436,0.32438,0.87055,0.0011684,0.0011684,0.0011684
23,798.139,0.68148,0.3792,0.92038,0.97997,0.9899,0.99222,0.838,0.62816,0.33058,0.86087,0.0011288,0.0011288,0.0011288
24,831.757,0.69142,0.38538,0.92138,0.9786,0.9788,0.99126,0.80829,0.69475,0.48689,0.88351,0.0010892,0.0010892,0.0010892
25,865.375,0.68287,0.37391,0.9239,0.97539,0.99024,0.99238,0.83057,0.64667,0.3222,0.88309,0.0010496,0.0010496,0.0010496
26,899.133,0.68527,0.37653,0.91856,0.9856,0.9862,0.99369,0.83316,0.64481,0.3277,0.8771,0.00101,0.00101,0.00101
27,932.679,0.68209,0.37476,0.92158,0.98292,0.9878,0.99318,0.83582,0.646,0.32055,0.87741,0.0009704,0.0009704,0.0009704
28,966.727,0.66495,0.36053,0.91643,0.98663,0.99347,0.99285,0.8425,0.61817,0.30867,0.8608,0.0009308,0.0009308,0.0009308
29,1005.93,0.66998,0.3628,0.9163,0.98248,0.99461,0.99358,0.8489,0.61296,0.309,0.86753,0.0008912,0.0008912,0.0008912
30,1047.02,0.67809,0.36451,0.92428,0.98397,0.992,0.99417,0.84692,0.613,0.29966,0.87261,0.0008516,0.0008516,0.0008516
31,1083.9,0.66579,0.35588,0.92053,0.9791,0.99354,0.99206,0.82963,0.6417,0.31236,0.88997,0.000812,0.000812,0.000812
32,1117.87,0.65704,0.35251,0.91533,0.98375,0.99058,0.99309,0.85089,0.60214,0.30572,0.85559,0.0007724,0.0007724,0.0007724
33,1152.74,0.6544,0.34552,0.91124,0.98493,0.99394,0.99368,0.82939,0.62753,0.30672,0.87069,0.0007328,0.0007328,0.0007328
34,1186.97,0.64861,0.34059,0.91105,0.98236,0.99428,0.99353,0.83524,0.63754,0.30066,0.87904,0.0006932,0.0006932,0.0006932
35,1220.82,0.64316,0.33756,0.91146,0.98785,0.99562,0.99384,0.85709,0.59222,0.28858,0.86548,0.0006536,0.0006536,0.0006536
36,1255,0.65112,0.34109,0.9131,0.98728,0.99286,0.99388,0.85306,0.58495,0.289,0.86069,0.000614,0.000614,0.000614
37,1289.77,0.64808,0.33451,0.91534,0.98925,0.99104,0.99427,0.84941,0.60382,0.29365,0.87946,0.0005744,0.0005744,0.0005744
38,1324.09,0.63681,0.33188,0.91047,0.98669,0.9977,0.99386,0.83463,0.63076,0.30505,0.88575,0.0005348,0.0005348,0.0005348
39,1359.86,0.63606,0.33353,0.91166,0.99161,0.99509,0.99437,0.86646,0.57694,0.27306,0.85728,0.0004952,0.0004952,0.0004952
40,1393.77,0.62719,0.32249,0.90847,0.98888,0.99529,0.99427,0.85443,0.59975,0.27329,0.86433,0.0004556,0.0004556,0.0004556
41,1451.58,0.59801,0.28465,0.88424,0.98042,0.99596,0.99397,0.86277,0.57939,0.28412,0.87038,0.000416,0.000416,0.000416
42,1485.16,0.59762,0.2822,0.87601,0.98369,0.99487,0.99367,0.84454,0.62469,0.29513,0.88623,0.0003764,0.0003764,0.0003764
43,1521.5,0.58801,0.2812,0.87758,0.98768,0.99823,0.99424,0.86356,0.58707,0.27477,0.86881,0.0003368,0.0003368,0.0003368
44,1555.44,0.5877,0.27545,0.87403,0.98886,0.99596,0.99411,0.86776,0.56885,0.26449,0.86092,0.0002972,0.0002972,0.0002972
45,1588.85,0.58557,0.26761,0.87376,0.98898,0.99676,0.9942,0.8562,0.59851,0.27032,0.87107,0.0002576,0.0002576,0.0002576
46,1622.85,0.57739,0.26484,0.86575,0.99096,0.99616,0.99443,0.86527,0.57529,0.25979,0.86099,0.000218,0.000218,0.000218
47,1658.77,0.57009,0.25986,0.87188,0.9903,0.99798,0.99454,0.86797,0.56834,0.258,0.86252,0.0001784,0.0001784,0.0001784
48,1694.29,0.56379,0.25381,0.86455,0.99196,0.99676,0.99459,0.85952,0.58938,0.26361,0.8693,0.0001388,0.0001388,0.0001388
49,1728.98,0.56501,0.25024,0.86628,0.99266,0.9963,0.99458,0.85988,0.58747,0.25766,0.87058,9.92e-05,9.92e-05,9.92e-05
50,1763.69,0.55482,0.24328,0.8652,0.99279,0.99697,0.99463,0.86571,0.57772,0.25336,0.86533,5.96e-05,5.96e-05,5.96e-05
