epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6432,0.85147,1.1649,0.95964,0.9572,0.96331,0.98587,0.79008,0.73034,0.69286,0.85112,0.000661333,0.000661333,0.000661333
2,74.5563,0.84134,0.76234,0.95726,0.93222,0.98602,0.96554,0.7661,0.75488,0.59878,0.87517,0.00130171,0.00130171,0.00130171
3,109.512,0.8176,0.63657,0.94888,0.96425,0.98058,0.98971,0.79877,0.72811,0.46797,0.87799,0.00191568,0.00191568,0.00191568
4,142.949,0.81993,0.58087,0.95177,0.93987,0.98654,0.97956,0.76217,0.78796,0.50931,0.88944,0.0018812,0.0018812,0.0018812
5,175.312,0.79545,0.54295,0.94071,0.93394,0.98452,0.97903,0.79107,0.73122,0.47049,0.88451,0.0018416,0.0018416,0.0018416
6,208.242,0.79647,0.51924,0.95457,0.96492,0.99051,0.99106,0.81101,0.71093,0.41471,0.88856,0.001802,0.001802,0.001802
7,242.29,0.77004,0.49547,0.93915,0.96759,0.9825,0.98972,0.80585,0.69912,0.40388,0.87667,0.0017624,0.0017624,0.0017624
8,276.12,0.76518,0.48219,0.93893,0.96712,0.97745,0.99015,0.81113,0.69008,0.41319,0.87158,0.0017228,0.0017228,0.0017228
9,310.513,0.76576,0.47366,0.94207,0.96413,0.9899,0.98864,0.80704,0.69434,0.41182,0.8732,0.0016832,0.0016832,0.0016832
10,345.121,0.75787,0.4576,0.9459,0.9655,0.99159,0.99159,0.81325,0.69986,0.38944,0.88333,0.0016436,0.0016436,0.0016436
11,379.008,0.73664,0.45202,0.93489,0.97286,0.98923,0.99142,0.81956,0.69059,0.37201,0.8728,0.001604,0.001604,0.001604
12,412.415,0.74831,0.44098,0.94326,0.97269,0.98721,0.99135,0.8205,0.68241,0.37238,0.87523,0.0015644,0.0015644,0.0015644
13,446.844,0.73092,0.43856,0.93326,0.97938,0.9914,0.99283,0.82634,0.66052,0.35424,0.87809,0.0015248,0.0015248,0.0015248
14,480.624,0.7224,0.42985,0.93445,0.97596,0.98721,0.99216,0.81536,0.68137,0.37023,0.8858,0.0014852,0.0014852,0.0014852
15,516.762,0.73329,0.43074,0.93709,0.98255,0.98554,0.99318,0.82357,0.6748,0.35419,0.87285,0.0014456,0.0014456,0.0014456
16,554.948,0.71094,0.41666,0.92751,0.97435,0.98468,0.99124,0.82215,0.67902,0.35938,0.88783,0.001406,0.001406,0.001406
17,588.985,0.71562,0.4189,0.92992,0.97802,0.98721,0.99247,0.8374,0.64015,0.34251,0.8611,0.0013664,0.0013664,0.0013664
18,626.096,0.70788,0.40188,0.92935,0.97387,0.99109,0.99061,0.82322,0.67665,0.35495,0.88224,0.0013268,0.0013268,0.0013268
19,659.745,0.70795,0.40146,0.93,0.97682,0.9899,0.99099,0.83721,0.64347,0.33219,0.87374,0.0012872,0.0012872,0.0012872
